STATION,HTDD,year
USC00314962,,2016
USC00314962,2828,2017
USC00314962,,2018
USC00314962,2954,2019
USC00314962,2711,2020
USC00314962,3101,2021
USC00314970,3579,2010
USC00314970,,2011
USC00314970,2738,2012
USC00314970,3622,2013
USC00314970,3800,2014
USC00314970,3443,2015
USC00314970,2866,2016
USC00314970,,2017
USC00314970,3487,2018
USC00314970,3287,2019
USC00314970,,2020
USC00314970,3213,2021
USC00314987,3471,2013
USC00314987,3390,2014
USC00314987,3525,2015
USC00314987,,2016
USC00314987,,2017
USC00314987,,2018
USC00314987,,2019
USC00314987,2734,2020
USC00314987,3021,2021
USC00314996,3762,2010
USC00314996,3665,2011
USC00314996,2856,2012
USC00314996,3499,2013
USC00314996,3633,2014
USC00314996,3515,2015
USC00314996,2920,2016
USC00314996,2705,2017
USC00314996,3432,2018
USC00314996,3186,2019
USC00314996,2966,2020
USC00314996,3126,2021
USC00315116,3024,2010
USC00315116,3127,2011
USC00315116,2284,2012
USC00315116,2892,2013
USC00315116,,2014
USC00315116,2996,2015
USC00315116,2239,2016
USC00315116,2263,2017
USC00315116,2801,2018
USC00315116,2513,2019
USC00315123,3873,2010
USC00315123,3901,2011
USC00315123,,2012
USC00315123,,2013
USC00315123,,2014
USC00315123,3783,2015
USC00315123,,2016
USC00315123,,2017
USC00315123,,2018
USC00315123,3356,2019
USC00315123,3163,2020
USC00315123,,2021
USC00315175,3171,2010
USC00315175,,2011
USC00315175,,2012
USC00315175,2961,2013
USC00315175,3048,2014
USC00315175,,2015
USC00315175,,2016
USC00315175,,2018
USC00315177,3190,2010
USC00315177,3117,2011
USC00315177,2340,2012
USC00315177,3020,2013
USC00315177,2995,2014
USC00315177,2962,2015
USC00315177,2316,2016
USC00315177,,2017
USC00315177,2775,2018
USC00315177,2332,2019
USC00315177,,2021
USC00315340,,2010
USC00315340,,2011
USC00315340,,2012
USC00315340,,2013
USC00315340,,2014
USC00315340,3796,2015
USC00315340,,2016
USC00315340,3011,2017
USC00315340,3801,2018
USC00315340,3530,2019
