weather_station,year,HTDD
STATION,HTDD,
USC00313784,3351,
USC00313784,3318,
USC00313784,2355,
USC00313784,2982,
USC00313784,3131,
USC00313784,3127,
USC00313784,2321,
USC00313784,2242,
USC00313784,2884,
USC00313784,2619,
USC00313784,,
USC00313784,2736,
USC00313919,,
USC00313919,,
USC00313919,,
USC00313919,3644,
USC00313919,,
USC00313919,2929,
USC00313919,3464,
USC00313969,4167,
USC00313969,,
USC00313969,3264,
USC00313969,4152,
USC00313969,4356,
USC00313969,4322,
USC00313969,,
USC00313969,3165,
USC00313969,3953,
USC00313969,,
USC00313969,,
USC00313969,,
USC00313971,3392,
USC00313971,,
USC00313971,,
USC00313971,,
USC00313971,3166,
USC00313971,2787,
USC00313971,3165,
USC00313976,,
USC00313976,,
USC00313976,,
USC00313976,4213,
USC00313976,4607,
USC00313976,4219,
USC00313976,3801,
USC00313976,3489,
USC00313976,4297,
USC00313976,4060,
USC00313976,3971,
USC00313976,4219,
USC00314063,3431,
USC00314063,3363,
USC00314063,,
USC00314063,3320,
USC00314063,,
USC00314063,3384,
USC00314063,2681,
USC00314063,,
USC00314063,3207,
USC00314063,3092,
USC00314063,,
USC00314063,3095,
USC00314144,3367,
USC00314260,,
USC00314260,,
USC00314260,,
USC00314260,,
USC00314260,4102,
USC00314260,,
USC00314260,,
USC00314260,3040,
USC00314260,3788,
USC00314260,3523,
USC00314260,3455,
USC00314260,3618,
USC00314456,,
USC00314456,3972,
USC00314456,3096,
USC00314456,3984,
USC00314456,4076,
USC00314456,4102,
USC00314456,3177,
USC00314456,3841,
USC00314456,3468,
USC00314456,3318,
USC00314456,3531,
USC00314464,3579,
USC00314464,3577,
USC00314464,3362,
USC00314464,3400,
USC00314464,3211,
USC00314464,2445,
USC00314464,2465,
USC00314464,3058,
USC00314464,2868,
USC00314464,2660,
USC00314464,2897,
USC00314471,2849,
USC00314471,,
USC00314471,,
USC00314471,,
USC00314471,,
USC00314471,2900,
USC00314471,,
USC00314471,,
USC00314471,2785,
USC00314471,2263,
USC00314471,,
USC00314471,,
USC00314496,5786,
USC00314496,5684,
USC00314496,4884,
USC00314496,,
USC00314496,5536,
USC00314496,5512,
USC00314496,5004,
USC00314496,4641,
USC00314496,5393,
USC00314496,5097,
USC00314496,5055,
USC00314496,,
USC00314684,3447,
USC00314684,3507,
USC00314684,,
USC00314684,3289,
USC00314684,3406,
USC00314684,3478,
USC00314684,2555,
USC00314684,2654,
USC00314689,2717,
USC00314689,2797,
USC00314689,1969,
USC00314689,2670,
USC00314689,,
USC00314689,1991,
USC00314689,1951,
USC00314689,2603,
USC00314689,2398,
USC00314689,2560,
USC00314689,2810,
USC00314764,,
USC00314764,,
USC00314764,,
USC00314764,,
USC00314764,,
USC00314764,3143,
USC00314764,2874,
USC00314764,3555,
USC00314764,3408,
USC00314764,3236,
USC00314764,3323,
USC00314860,3249,
USC00314860,,
USC00314860,2462,
USC00314860,,
USC00314860,,
USC00314860,3163,
USC00314860,,
USC00314860,,
USC00314860,,
USC00314860,,
USC00314860,2347,
USC00314860,2216,
USC00314938,4016,
USC00314938,3935,
USC00314938,3037,
USC00314938,3921,
USC00314938,4074,
USC00314938,4000,
USC00314938,3334,
USC00314938,3090,
USC00314938,3951,
USC00314938,3649,
USC00314938,3545,
USC00314938,3651,
USC00314962,3496,
USC00314962,3555,
USC00314962,2745,
USC00314962,3434,
USC00314962,3720,
USC00314962,,
USC00314962,2828,
USC00314962,,
USC00314962,2954,
USC00314962,2711,
USC00314962,3101,
USC00314970,3579,
USC00314970,,
USC00314970,2738,
USC00314970,3622,
USC00314970,3800,
USC00314970,3443,
USC00314970,2866,
USC00314970,,
USC00314970,3487,
USC00314970,3287,
USC00314970,,
USC00314970,3213,
USC00314987,3471,
USC00314987,3390,
USC00314987,3525,
USC00314987,,
USC00314987,,
USC00314987,,
USC00314987,,
USC00314987,2734,
USC00314987,3021,
USC00314996,3762,
USC00314996,3665,
USC00314996,2856,
USC00314996,3499,
USC00314996,3633,
USC00314996,3515,
USC00314996,2920,
USC00314996,2705,
USC00314996,3432,
USC00314996,3186,
USC00314996,2966,
USC00314996,3126,
USC00315116,3024,
USC00315116,3127,
USC00315116,2284,
USC00315116,2892,
USC00315116,,
USC00315116,2996,
USC00315116,2239,
USC00315116,2263,
USC00315116,2801,
USC00315116,2513,
USC00315123,3873,
USC00315123,3901,
USC00315123,,
USC00315123,,
USC00315123,,
USC00315123,3783,
USC00315123,,
USC00315123,,
USC00315123,,
USC00315123,3356,
USC00315123,3163,
USC00315123,,
USC00315175,3171,
USC00315175,,
USC00315175,,
USC00315175,2961,
USC00315175,3048,
USC00315175,,
USC00315175,,
USC00315175,,
USC00315177,3190,
USC00315177,3117,
USC00315177,2340,
USC00315177,3020,
USC00315177,2995,
USC00315177,2962,
USC00315177,2316,
USC00315177,,
USC00315177,2775,
USC00315177,2332,
USC00315177,,
USC00315340,,
USC00315340,,
USC00315340,,
USC00315340,,
USC00315340,,
USC00315340,3796,
USC00315340,,
USC00315340,3011,
USC00315340,3801,
USC00315340,3530,
USC00315340,3306,
USC00315340,3366,
USC00315356,4857,
USC00315356,4894,
USC00315356,3908,
USC00315356,4815,
USC00315356,5034,
USC00315356,4846,
USC00315356,4110,
USC00315356,3926,
USC00315356,4562,
USC00315356,4352,
USC00315356,4242,
USC00315356,4401,
USC00315743,,
USC00315743,,
USC00315743,,
USC00315743,,
USC00315743,,
USC00315743,,
USC00315743,3538,
USC00315743,3388,
USC00315743,4122,
USC00315743,3867,
USC00315743,3696,
USC00315743,3911,
USC00315771,,
USC00315771,3181,
USC00315771,,
USC00315771,3531,
USC00315771,3436,
USC00315771,2629,
USC00315771,2522,
USC00315771,3155,
USC00315771,3034,
USC00315771,2796,
USC00315771,3029,
USC00315820,,
USC00315820,,
USC00315820,,
USC00315820,2578,
USC00315820,2503,
USC00315830,,
USC00315830,2650,
USC00315830,1752,
USC00315830,2285,
USC00315830,2338,
USC00315830,2866,
USC00315830,2056,
USC00315830,2116,
USC00315830,2735,
USC00315830,,
USC00315830,2165,
USC00315830,2398,
USC00315838,4200,
USC00315838,4027,
USC00315838,3303,
USC00315838,3951,
USC00315838,4178,
USC00315838,4016,
USC00315838,3417,
USC00315838,3084,
USC00315838,3858,
USC00315838,3678,
USC00315838,3493,
USC00315838,3668,
USC00315890,,
USC00315890,4384,
USC00315890,3680,
USC00315890,4462,
USC00315890,4691,
USC00315890,4496,
USC00315890,3815,
USC00315890,3613,
USC00315890,4420,
USC00315890,4142,
USC00315890,4128,
USC00315890,4114,
USC00315923,8286,
USC00315923,7748,
USC00315923,7035,
USC00315923,8069,
USC00315923,8000,
USC00315923,7876,
USC00315923,7334,
USC00315923,6941,
USC00315923,7741,
USC00315923,7491,
USC00315923,7479,
USC00315923,7417,
